,0
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,1
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,1
422,0
423,1
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,0
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
